Age,YearsProgram,Currency,HaveWorkedLanguage,WantWorkLanguage,Salary
,5 to 6 years,Indian rupees (?),Go; Python; Ruby,Assembly; C; Common Lisp; Haskell; Lua; Matlab; PHP; Python; R; Ruby; SQL; Swift,NA
,9 to 10 years,NA,JavaScript,JavaScript; Scala; TypeScript,NA
,6 to 7 years,NA,NA,NA,NA
,12 to 13 years,NA,Dart; Java,Dart; Java,NA
,4 to 5 years,Polish zloty (zl),C; C++; Haskell; JavaScript; Julia,C; Haskell; JavaScript; Julia; Matlab; Python; Swift; TypeScript,NA
,6 to 7 years,NA,C; C++; JavaScript,Clojure; Haskell; Java; Rust; Scala,NA
,7 to 8 years,NA,C++; Java; JavaScript; PHP; SQL; Visual Basic 6,Java; JavaScript; PHP; SQL,NA
,9 to 10 years,NA,C#; JavaScript; SQL,C#; Go; JavaScript; SQL; TypeScript,NA
,1 to 2 years,Indian rupees (?),Objective-C; Ruby; Swift,JavaScript; Objective-C; Ruby; Swift,NA
,1 to 2 years,NA,C; Go; Java; JavaScript; PHP; Python; Ruby; SQL,Assembly; C; Go; Java; JavaScript; Julia; Lua; Objective-C; Python; R; Ruby; Rust; SQL; Swift,NA
,1 to 2 years,Euros (€),NA,NA,NA
,9 to 10 years,Canadian dollars (C$),C; C++; C#; Java; JavaScript; SQL,C; C++; C#; Java; JavaScript; SQL,26515.15152
,17 to 18 years,Euros (€),C; CoffeeScript; Java; JavaScript; Perl; Ruby; SQL,CoffeeScript; Elixir; Groovy; Haskell; JavaScript; Perl; Ruby; Scala; SQL; TypeScript,80645.16129
,1 to 2 years,NA,C++; C#; Java; JavaScript; PHP; SQL,C#; Java; JavaScript; PHP; SQL,NA
,6 to 7 years,NA,Java; Python,C++; Erlang; F#; Python; Rust,NA
,8 to 9 years,Polish zloty (zl),Elixir; Erlang; Go; JavaScript; PHP; SQL,Elixir; JavaScript; PHP; Python; SQL; Swift,10864.19753
,12 to 13 years,U.S. dollars ($),C++,C++,3.60E+04
,3 to 4 years,Euros (€),C; Java; JavaScript; PHP; Python; SQL; TypeScript,JavaScript; Python; SQL; TypeScript,NA
,2 to 3 years,NA,C; PHP; Python,C; JavaScript; Perl; PHP; Python; SQL,NA
,4 to 5 years,NA,C; C++; Java; JavaScript; PHP; SQL; Swift,C; Java; JavaScript; SQL; Swift,NA
,14 to 15 years,British pounds sterling (£),JavaScript; PHP; SQL,C++,34375
,5 to 6 years,NA,NA,NA,NA
,13 to 14 years,Chinese yuan renminbi (¥),C; C++; Common Lisp; Clojure; Java; JavaScript; Python; R; SQL,C; C++; Common Lisp; Clojure; Go; Java; JavaScript; Python; Scala,58139.53488
,6 to 7 years,Australian dollars (A$),C#; Java; SQL; VB.NET,C#; Go; Java; JavaScript; PHP; SQL; VB.NET,NA
,4 to 5 years,NA,Java; JavaScript; PHP; SQL,JavaScript; PHP; SQL,NA
,9 to 10 years,Euros (€),C#; Java; JavaScript; Matlab; Python; SQL; VBA,C; C++; PHP; R; Ruby; Scala,12903.22581
,5 to 6 years,NA,C++; Python; R,Go; Python; R,NA
,2 to 3 years,NA,NA,NA,NA
,4 to 5 years,U.S. dollars ($),C++; Java; JavaScript; Python; Swift,C++; Go; Haskell; Python; Swift,NA
,3 to 4 years,NA,NA,NA,NA
,Less than a year,Mexican pesos (MXN$),C; Java; JavaScript; PHP; Python; Ruby; SQL,JavaScript; PHP; Python; SQL,NA
,3 to 4 years,Indian rupees (?),Java; JavaScript; SQL; TypeScript,C; Java; JavaScript; SQL; Swift; TypeScript,NA
,Less than a year,NA,NA,NA,NA
,7 to 8 years,Indian rupees (?),Java; JavaScript; SQL; Swift,NA,17618.55821
,12 to 13 years,NA,Python; R,Python; R,NA
,7 to 8 years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,5 to 6 years,Euros (€),JavaScript; Python,Java; JavaScript; Python,22580.64516
,19 to 20 years,NA,C++; JavaScript; Python,C++; Go; JavaScript; Python; R; Swift,NA
,Less than a year,NA,C; C++,C#; Java; JavaScript; SQL,NA
,14 to 15 years,NA,C#; JavaScript; PHP; Python; R; SQL; VBA,C#; JavaScript,NA
,6 to 7 years,Euros (€),C; C++; C#; CoffeeScript; Python,C; C#; Lua; Python,NA
,11 to 12 years,NA,C#; JavaScript; SQL; TypeScript,JavaScript; Python; TypeScript,NA
,6 to 7 years,NA,NA,NA,NA
,10 to 11 years,South African rands (R),Java; PHP; SQL,JavaScript; Swift; TypeScript,26726.05791
,6 to 7 years,Euros (€),JavaScript; Python; Ruby; SQL,CoffeeScript; JavaScript; Ruby; SQL,NA
,7 to 8 years,Euros (€),Assembly; C; Python; R; SQL,Python; R,14051.6129
,1 to 2 years,Indian rupees (?),NA,NA,NA
,20 or more years,U.S. dollars ($),JavaScript,Java; JavaScript; TypeScript,1.10E+05
,16 to 17 years,NA,CoffeeScript; Go; JavaScript; PHP; Ruby; SQL,CoffeeScript; Elixir; Go; Java; Ruby; SQL,NA
,17 to 18 years,NA,C#; Elixir; Java; JavaScript; Objective-C; Perl; PHP; SQL; Swift,CoffeeScript,NA
,11 to 12 years,NA,JavaScript; PHP,JavaScript; PHP,NA
,20 or more years,Euros (€),C++,C#; Python,29032.25806
,7 to 8 years,NA,C#; Go; JavaScript; PHP; Ruby,Go; JavaScript; PHP,NA
,11 to 12 years,NA,Assembly; C; C++; C#; Haskell; Java; JavaScript; Python; SQL,Assembly; C++; C#; Haskell; JavaScript; R; Scala; TypeScript,NA
,6 to 7 years,Euros (€),Java; JavaScript; SQL,C; C++; Go; Java; JavaScript; Objective-C; Python; Ruby; SQL; TypeScript,26881.72043
,8 to 9 years,Euros (€),JavaScript; PHP; SQL,C++; Python,NA
,1 to 2 years,NA,JavaScript; PHP,NA,NA
,13 to 14 years,Euros (€),Java; JavaScript; PHP; Python; Scala,Go; Scala,59139.78495
,20 or more years,Canadian dollars (C$),JavaScript; Python; SQL,NA,113636.3636
,14 to 15 years,Euros (€),NA,NA,NA
,16 to 17 years,NA,CoffeeScript; Clojure; Haskell; Java; JavaScript,Common Lisp; F#; Lua; Ruby,NA
,10 to 11 years,British pounds sterling (£),JavaScript; PHP,Swift,5.00E+04
,2 to 3 years,British pounds sterling (£),JavaScript; SQL,NA,NA
,11 to 12 years,Euros (€),Java; JavaScript; TypeScript,C#; Java; JavaScript; TypeScript,57311.82796
,16 to 17 years,NA,C++; Java; JavaScript; PHP; Python; SQL,NA,NA
,2 to 3 years,NA,Assembly; C; C++; C#; Go; JavaScript; Matlab; PHP; SQL,C; C++; C#; Go; JavaScript; SQL,NA
,11 to 12 years,Euros (€),Java; PHP; Python; SQL,NA,38709.67742
,8 to 9 years,Euros (€),C++; C#; JavaScript; Perl; Python; SQL; TypeScript,Assembly; C++; C#; CoffeeScript; Java; JavaScript; Perl; PHP; Python; SQL; TypeScript,NA
,3 to 4 years,NA,NA,NA,NA
,2 to 3 years,Euros (€),NA,C; C++; Java; Python; Swift; TypeScript,NA
,10 to 11 years,U.S. dollars ($),C; C++; C#; Java; JavaScript; PHP; Python; SQL; VBA,C; C++; C#; Java; JavaScript; PHP; Python; SQL,793
,9 to 10 years,Euros (€),Java; JavaScript; Python; SQL,Java; Python,NA
,4 to 5 years,NA,C#; Objective-C; SQL; Swift,Java; SQL; Swift,NA
,14 to 15 years,U.S. dollars ($),C++; C#; JavaScript; PHP; Ruby; SQL,Python; Scala; Swift,112500
,2 to 3 years,Euros (€),C++; C#; JavaScript; Python; SQL,C; F#; JavaScript; Python; SQL; TypeScript,19354.83871
,2 to 3 years,NA,NA,C; C++; C#; SQL,NA
,20 or more years,NA,C; C++; Go; Objective-C; Python; R; Swift,Julia; R; Scala; Swift,NA
,12 to 13 years,Euros (€),C#,C#; TypeScript,NA
,9 to 10 years,U.S. dollars ($),C; C++; C#; Java; JavaScript,C; C#; CoffeeScript; Java; JavaScript; Python,2.60E+04
,10 to 11 years,NA,C#; JavaScript; SQL; VB.NET,Go,NA
,20 or more years,NA,NA,NA,NA
,16 to 17 years,NA,Java; JavaScript; SQL,C++; Java; JavaScript; SQL,NA
,4 to 5 years,NA,NA,NA,NA
,4 to 5 years,NA,Java; JavaScript,Go; Java; JavaScript; R,NA
,20 or more years,NA,Go; JavaScript; PHP,NA,NA
,5 to 6 years,Bitcoin (btc),Assembly,Assembly,NA
,20 or more years,U.S. dollars ($),C#; SQL,F#,1.18E+05
,9 to 10 years,Euros (€),C; Java; JavaScript; Python,C; C++; C#; Python,NA
,6 to 7 years,U.S. dollars ($),Haskell; Python; Ruby,C++; Elixir; Erlang; Haskell,2.00E+04
,20 or more years,NA,C#; JavaScript; PHP; Python; Ruby; SQL; VB.NET; VBA,Go; Python,NA
,1 to 2 years,Euros (€),Groovy; Java; JavaScript,Java; JavaScript,NA
,1 to 2 years,NA,NA,NA,NA
,16 to 17 years,NA,CoffeeScript; JavaScript; Ruby; SQL,JavaScript; Ruby; SQL,NA
,1 to 2 years,NA,C; C++; Ruby,Java; JavaScript,NA
,7 to 8 years,Euros (€),Assembly; C; C++; CoffeeScript; JavaScript; Perl; PHP; Python; Ruby; Rust; SQL,CoffeeScript; JavaScript; Lua; Python; Rust,NA
,11 to 12 years,NA,C; C++; Go; JavaScript; Python,NA,NA
,18 to 19 years,NA,C; C++; C#; Go; Java; JavaScript; Ruby; Scala,C#; F#; Python; R,NA
,20 or more years,U.S. dollars ($),C#; JavaScript; SQL,Python; R,1.37E+05
,20 or more years,British pounds sterling (£),C++; C#; JavaScript,C++; C#; Elixir; Erlang; Go; JavaScript; Python; TypeScript,52500
,20 or more years,NA,Python; SQL,Julia; Python; SQL,NA
,9 to 10 years,NA,NA,NA,NA
,1 to 2 years,NA,C; Java; Python,C; C++; Python,NA
,4 to 5 years,NA,JavaScript; PHP; SQL,JavaScript; PHP; SQL,NA
,20 or more years,NA,Assembly; C; C++; C#; Clojure; F#; Haskell; Java; JavaScript; Perl; Scala; SQL; VB.NET; Visual Basic 6,Assembly; C; C++; C#; Common Lisp; Clojure; Haskell; Matlab; Python; R; Rust; Scala; TypeScript,NA
,15 to 16 years,NA,Assembly; Python,C; C++,NA
,18 to 19 years,U.S. dollars ($),Java; JavaScript; Objective-C; PHP,JavaScript; Swift,117300
,4 to 5 years,NA,Java; Matlab,Java; JavaScript; Swift,NA
,15 to 16 years,Canadian dollars (C$),C#; JavaScript; Objective-C; Perl; PHP; Python; SQL; VB.NET; VBA; Visual Basic 6,NA,NA
,20 or more years,U.S. dollars ($),C++; C#,C#,144550
,12 to 13 years,U.S. dollars ($),C#; CoffeeScript; Go; Java; JavaScript; Python; SQL; TypeScript,C#; Go; JavaScript; Python; R; TypeScript,1.75E+05
,14 to 15 years,NA,JavaScript; PHP,Java; JavaScript; PHP,NA
,6 to 7 years,NA,Java; JavaScript; Python,Elixir; Erlang; Go; Java; JavaScript; Python,NA
,20 or more years,U.S. dollars ($),C; JavaScript; Python; R; SQL,JavaScript; Python; SQL,1.65E+05
,8 to 9 years,Russian rubles (?),Elixir,NA,NA
,20 or more years,NA,Assembly; C; C++; Java; JavaScript; PHP; SQL,Assembly; C; C++; Go; PHP; SQL; Visual Basic 6,NA
,2 to 3 years,NA,NA,NA,NA
,3 to 4 years,U.S. dollars ($),NA,NA,NA
,11 to 12 years,NA,CoffeeScript; Java; JavaScript; PHP; Python; Ruby; SQL; Swift,C; C++; Common Lisp; Clojure; Elixir; Go; Hack; Haskell; Java; JavaScript; PHP; Python; Ruby; Scala; SQL; Swift,NA
,15 to 16 years,NA,C#; JavaScript; SQL,F#; Haskell; Python; Ruby; TypeScript,NA
,20 or more years,NA,C++; C#; JavaScript; Objective-C; Python,C++; C#; JavaScript; Objective-C; Python,NA
,1 to 2 years,NA,NA,NA,NA
,1 to 2 years,Brazilian reais (R$),NA,NA,NA
,20 or more years,NA,SQL; VB.NET,NA,NA
,6 to 7 years,NA,C#; Java; JavaScript; SQL,C#; Java; JavaScript; SQL,NA
,3 to 4 years,NA,JavaScript; PHP; SQL; VB.NET,C#; Java; Python,NA
,6 to 7 years,Australian dollars (A$),Java; JavaScript; SQL,Java; JavaScript; SQL,50757.57576
,2 to 3 years,NA,NA,NA,NA
,20 or more years,NA,C#; CoffeeScript; Go; JavaScript; SQL; TypeScript,C#; Go; SQL; TypeScript,NA
,9 to 10 years,NA,C#; Java; JavaScript; PHP; Python; SQL; Swift,NA,NA
,7 to 8 years,Indian rupees (?),Assembly; C++; Java; JavaScript; Python; SQL,Assembly; C++; Java; JavaScript; Matlab; Python; SQL,NA
,2 to 3 years,Canadian dollars (C$),Assembly; C++; SQL; VBA,Assembly; Java; JavaScript; Matlab; Objective-C; Perl; PHP; Python; Ruby; Scala; Swift; VB.NET; Visual Basic 6,NA
,7 to 8 years,NA,C#; JavaScript; SQL,Java,5959.475566
,2 to 3 years,NA,PHP,JavaScript; PHP,NA
,8 to 9 years,U.S. dollars ($),JavaScript; Lua; Python,C; Go; Lua; Ruby,4.50E+04
,12 to 13 years,NA,C#; JavaScript; SQL,Java,NA
,19 to 20 years,Australian dollars (A$),JavaScript,JavaScript; Swift,113636.3636
,20 or more years,U.S. dollars ($),C#; Java; Lua; Python,C#,NA
,4 to 5 years,NA,JavaScript; Python; SQL; TypeScript,Go; JavaScript; Python,NA
,6 to 7 years,NA,C; Groovy; Java; JavaScript,C; Groovy; Java; Python; Ruby,NA
,5 to 6 years,NA,NA,NA,NA
,6 to 7 years,NA,Assembly; C; C++; C#; Haskell; Java; JavaScript; Lua; PHP; Python; Ruby; SQL,C; Go; Haskell; Python; Ruby; Scala; SQL,NA
,20 or more years,NA,C#,C#; F#; Haskell,NA
,1 to 2 years,NA,SQL; VBA,JavaScript; Matlab; PHP; Python; SQL,NA
,6 to 7 years,NA,C#; Haskell; Java; SQL,C#; JavaScript; SQL; TypeScript,NA
,Less than a year,NA,NA,NA,NA
,9 to 10 years,NA,JavaScript; Lua,NA,NA
,3 to 4 years,NA,Java; Objective-C; PHP; SQL; Swift,C++; Python,NA
,20 or more years,South African rands (R),Haskell; Java; JavaScript; Python,Haskell; Python; Rust; TypeScript,25241.27691
,8 to 9 years,British pounds sterling (£),Perl; SQL,C#; Perl; SQL,33750
,2 to 3 years,Indian rupees (?),NA,NA,NA
,2 to 3 years,NA,Matlab; Perl; R,Python; R,NA
,20 or more years,NA,C#; F#; JavaScript; Matlab; Python; Ruby; SQL; TypeScript,C#; F#; JavaScript; Python; Ruby; SQL; TypeScript,NA
,3 to 4 years,NA,NA,NA,NA
,17 to 18 years,Euros (€),C++; C#; Java,C++; C#,48387.09677
,11 to 12 years,British pounds sterling (£),Assembly; C; C++; Java; JavaScript; Python; SQL,Assembly; C; C++; Go; Java; JavaScript; Python,4.00E+04
,16 to 17 years,U.S. dollars ($),Groovy; JavaScript,R; Scala; TypeScript,500
,Less than a year,NA,Java,Go; Objective-C; Python; Scala; SQL,30578.5124
,9 to 10 years,Euros (€),C++; Java; Python,C#,21505.37634
,1 to 2 years,Indian rupees (?),PHP,JavaScript,NA
,2 to 3 years,British pounds sterling (£),CoffeeScript; JavaScript; PHP; SQL; Swift,Java; JavaScript; PHP; SQL; Swift,3.50E+04
,4 to 5 years,British pounds sterling (£),C#,C#,NA
,10 to 11 years,NA,Java; JavaScript,Java; JavaScript; Scala,NA
,6 to 7 years,Euros (€),C#; Java; JavaScript; PHP; Python; SQL; TypeScript,Java; JavaScript; SQL; TypeScript,NA
,10 to 11 years,NA,Assembly; C; C++; PHP; SQL,NA,NA
,14 to 15 years,NA,Java; JavaScript; Objective-C; PHP; Python; SQL; TypeScript; VBA,C#; Common Lisp; Dart; Go,NA
,9 to 10 years,NA,C; C++; C#; Matlab; Perl; PHP; Python; SQL; VBA,F#; Java; JavaScript,NA
,4 to 5 years,NA,C#; JavaScript; SQL,C#; Java; JavaScript; Python; SQL,NA
,19 to 20 years,British pounds sterling (£),C#; JavaScript; Python,F#; Go,68750
,20 or more years,Euros (€),C++; Java; JavaScript; Perl; SQL,Java,24731.1828
,1 to 2 years,NA,NA,NA,NA
,7 to 8 years,British pounds sterling (£),Java; JavaScript,NA,NA
,4 to 5 years,U.S. dollars ($),C++; Java; Python,C#; F#; Python; Rust,NA
,4 to 5 years,NA,NA,NA,NA
,20 or more years,NA,C#; Common Lisp; Java; JavaScript; Python,C#; Common Lisp; Java; JavaScript; Python,NA
,20 or more years,NA,Assembly; C; C++; Common Lisp; Clojure; Haskell; Java; JavaScript; Python; SQL,C; Common Lisp; Clojure,NA
,13 to 14 years,Polish zloty (zl),C#; JavaScript; SQL; TypeScript,C#; Elixir; JavaScript; SQL; TypeScript,29629.62963
,19 to 20 years,NA,C#; JavaScript; Objective-C; PHP; SQL; Swift,C#; SQL; Swift,NA
,14 to 15 years,NA,Assembly; C,Java; JavaScript,NA
,20 or more years,NA,Java; JavaScript; SQL; TypeScript,Java; JavaScript; SQL; TypeScript,NA
,16 to 17 years,Euros (€),C#; VBA,C#; VBA,NA
,20 or more years,NA,JavaScript; Objective-C; Swift,JavaScript; Swift,NA
,5 to 6 years,Indian rupees (?),C#; JavaScript; SQL; TypeScript; VB.NET,C#; JavaScript; Ruby; SQL; TypeScript; VB.NET,NA
,16 to 17 years,British pounds sterling (£),JavaScript; Perl; PHP; SQL,Perl; SQL,33750
,1 to 2 years,British pounds sterling (£),NA,NA,NA
,3 to 4 years,NA,C#; JavaScript; PHP; SQL; TypeScript,C++; C#; JavaScript; PHP; TypeScript,NA
,11 to 12 years,Euros (€),Java; JavaScript; Python; Scala,Elixir; Erlang,62365.5914
,8 to 9 years,NA,NA,NA,NA
,5 to 6 years,NA,Python; SQL,JavaScript; Python,NA
,6 to 7 years,NA,C; C++; C#; JavaScript; Lua; PHP; Python; SQL,NA,NA
,20 or more years,NA,C++; Java; JavaScript; PHP; SQL,C++; C#; Java; JavaScript; PHP; SQL,NA
,20 or more years,U.S. dollars ($),JavaScript; Python,JavaScript; Python; Rust; Swift,1.60E+05
,12 to 13 years,NA,C++,C++; C#; Java,NA
,14 to 15 years,NA,Java; Python; SQL,Java; Python,NA
,9 to 10 years,NA,C#; JavaScript; Objective-C; PHP; Python; SQL; Swift,JavaScript; PHP; Python; Swift,NA
,10 to 11 years,U.S. dollars ($),Assembly; C#; Java; JavaScript; SQL,C++; C#; JavaScript; SQL,66800
,20 or more years,NA,C; C++; JavaScript; Objective-C; Python; Swift,C; C++; C#; Elixir; Go; Java; JavaScript; Python; Scala; Swift,NA
,3 to 4 years,Euros (€),NA,NA,NA
,8 to 9 years,NA,C++; C#,C++; C#,NA
,20 or more years,U.S. dollars ($),Java; Python; Ruby; SQL,Python; Ruby; SQL,NA
,5 to 6 years,Euros (€),Go; Java; JavaScript; PHP; Python; Ruby; SQL; TypeScript,C; Go; JavaScript; PHP; SQL; TypeScript,48387.09677
,20 or more years,NA,Java; JavaScript; Python; Scala; SQL,JavaScript; R; Scala,NA
,10 to 11 years,NA,C; C#; Groovy; Java; Python; Scala; SQL,C#; Groovy; Java; Python; Scala; SQL,NA
,3 to 4 years,U.S. dollars ($),C; C++,Java; JavaScript; Python,NA
,3 to 4 years,NA,Assembly; C; C++; C#; JavaScript; Python; SQL,Assembly; C; C++; C#; JavaScript; PHP; Python; Ruby; SQL,NA
,3 to 4 years,NA,C; C#; VBA,SQL,NA
,20 or more years,NA,JavaScript; SQL,C; C++; C#; Dart; Elixir; JavaScript; Lua; Objective-C; Python; R; SQL,NA
,20 or more years,NA,Groovy; Java; PHP; SQL,Groovy; Java; SQL,NA
,14 to 15 years,NA,Groovy; JavaScript; PHP; Python; SQL,Go; Groovy; Python,NA
,8 to 9 years,NA,C; Java; JavaScript; PHP; Python; Ruby; SQL,C; C++; Common Lisp; Go; Java; JavaScript; Python; Scala; SQL; TypeScript,NA
,3 to 4 years,U.S. dollars ($),JavaScript; Ruby; SQL,CoffeeScript; JavaScript; Ruby; TypeScript,NA
,20 or more years,NA,C#; Java; JavaScript; Python; TypeScript,Go; Java; JavaScript; Python; Scala; TypeScript,NA
,5 to 6 years,NA,Java; Python,Haskell; Rust,NA
,2 to 3 years,NA,Java; Python,C; C++; Matlab; Python; Ruby,NA
,5 to 6 years,NA,C; C++; C#; Java; JavaScript; Objective-C; PHP; Python; VB.NET,C; C++; C#; Java; Objective-C; Python; Swift,NA
,20 or more years,NA,C++; Clojure; Go; Java; JavaScript; Objective-C; SQL; Swift,C++; Go; SQL; Swift,NA
,7 to 8 years,U.S. dollars ($),Java; PHP; Python; Ruby; Scala; SQL,Java; Python; Ruby; Scala; SQL,6.00E+04
,5 to 6 years,Euros (€),C; Java; JavaScript; Swift,Java; JavaScript; Swift,2.00E+04
,7 to 8 years,NA,Java,Java,NA
,7 to 8 years,U.S. dollars ($),Java,Objective-C,1.10E+05
,10 to 11 years,NA,Groovy; Java; Scala; SQL,Scala,NA
,20 or more years,Euros (€),C; C++; Java; Python; Scala,C++; Go; Python,59139.78495
,11 to 12 years,Euros (€),Java,Java,45161.29032
,20 or more years,Euros (€),Assembly; C#; CoffeeScript; JavaScript; SQL; Swift; TypeScript,C#; JavaScript; SQL,59139.78495
,14 to 15 years,NA,PHP; SQL,PHP; SQL,NA
,14 to 15 years,NA,C; C++; JavaScript; Python,C; C++; Python,NA
,20 or more years,U.S. dollars ($),C; C++; Java; Objective-C; Python; SQL; Swift,C; C++; Go; Java; JavaScript; Objective-C; Python; R; SQL; Swift,4.20E+04
,19 to 20 years,U.S. dollars ($),JavaScript; PHP; Python; SQL,JavaScript; PHP; Python; R; SQL,1.05E+05
,14 to 15 years,U.S. dollars ($),C++; C#; JavaScript; SQL,C#; JavaScript; SQL,1.00E+05
,4 to 5 years,U.S. dollars ($),C#; JavaScript,F#; Swift,3.80E+04
,14 to 15 years,NA,C#; JavaScript; PHP; SQL,Dart,NA
,19 to 20 years,NA,C++; Python,C++; Python,NA
,9 to 10 years,British pounds sterling (£),C#; JavaScript; Python; SQL,C++; C#; JavaScript; Python; Ruby; SQL; TypeScript,62500
,1 to 2 years,Euros (€),Assembly; C++; CoffeeScript; Clojure,C; C++; Dart; Elixir; Erlang; F#,NA
,20 or more years,U.S. dollars ($),C#; JavaScript; PHP; SQL,C#; JavaScript; PHP; SQL,1.20E+05
,9 to 10 years,British pounds sterling (£),C; C++; C#; Java; JavaScript; PHP,C; C++; C#; Java; JavaScript; PHP; Swift,NA
,3 to 4 years,NA,NA,NA,NA
,19 to 20 years,Canadian dollars (C$),Java; JavaScript,Java; JavaScript,37878.78788
,20 or more years,British pounds sterling (£),Java; SQL,Clojure; Python; Scala; SQL,62500
,7 to 8 years,U.S. dollars ($),C#; JavaScript; SQL,C#; JavaScript; Python,82323
,20 or more years,NA,C#; JavaScript; Python; SQL,C#; JavaScript; SQL,NA
,4 to 5 years,NA,Java; Matlab; Python,Elixir; Haskell; JavaScript,NA
,5 to 6 years,NA,JavaScript,Clojure; JavaScript,NA
,2 to 3 years,NA,NA,NA,NA
,1 to 2 years,U.S. dollars ($),JavaScript; Perl,Go; JavaScript; Lua; PHP; TypeScript,1.30E+05
,15 to 16 years,U.S. dollars ($),JavaScript,Java; JavaScript; SQL; TypeScript,1.08E+05
,1 to 2 years,U.S. dollars ($),C++; C#; Java; PHP; Python; SQL; Visual Basic 6,NA,3.00E+04
,20 or more years,NA,Perl; PHP,Go; JavaScript; Lua; PHP; Swift,NA
,6 to 7 years,U.S. dollars ($),Java,C#; Swift,1.20E+05
,3 to 4 years,U.S. dollars ($),C++; Java; JavaScript; SQL,CoffeeScript; Go; Java; JavaScript; Python; Ruby; Swift,5.90E+04
,1 to 2 years,NA,NA,NA,NA
,1 to 2 years,U.S. dollars ($),NA,NA,NA
,1 to 2 years,NA,NA,NA,NA
,Less than a year,NA,JavaScript; PHP; Python,C++; Go; JavaScript; PHP; Swift,NA
,1 to 2 years,U.S. dollars ($),NA,NA,NA
,1 to 2 years,NA,NA,NA,NA
,8 to 9 years,British pounds sterling (£),Java; JavaScript; PHP; SQL; TypeScript,Go; Hack; Java; SQL; TypeScript,43750
,20 or more years,NA,Perl; Ruby; SQL,PHP,NA
,19 to 20 years,NA,C#; Java; SQL,C#; Java; JavaScript; SQL,NA
,20 or more years,British pounds sterling (£),JavaScript; PHP; SQL; Swift,Assembly; C++; C#; Go; Haskell; Lua; Objective-C,5.00E+04
,3 to 4 years,NA,CoffeeScript; Java; JavaScript; Python; SQL,Go; JavaScript; Python; TypeScript,NA
,14 to 15 years,U.S. dollars ($),Java; JavaScript; Python; R; SQL,Go; Java; JavaScript; Julia; Python; R; SQL,1.70E+05
,4 to 5 years,U.S. dollars ($),C#; JavaScript; SQL,NA,6.60E+04
,10 to 11 years,Euros (€),C#; Java; JavaScript; Python; SQL; TypeScript,C++; C#; Java; JavaScript; Python; SQL; TypeScript,10322.58065
,14 to 15 years,U.S. dollars ($),C#; Java; JavaScript; SQL,C#; Java; JavaScript; SQL; Swift,1.25E+05
,3 to 4 years,U.S. dollars ($),C; C++; Perl; Python,NA,50400
,20 or more years,NA,C++; C#; Java; Python; SQL; VB.NET,C++; C#; Java; Objective-C; Python; SQL; VB.NET,NA
,14 to 15 years,U.S. dollars ($),C; C++; Python; R,C; C++; Julia; Python; R,4.80E+04
,20 or more years,Australian dollars (A$),SQL,NA,98484.84848
,6 to 7 years,NA,C++; C#; JavaScript; Python; SQL,C++; C#; JavaScript; Python,NA
,9 to 10 years,Russian rubles (?),Assembly; C; C++; C#; JavaScript; Python,C++; C#; Java; Python,10025.06266
,1 to 2 years,NA,PHP,PHP,NA
,3 to 4 years,U.S. dollars ($),C#; JavaScript; PHP; SQL,C#; Java; JavaScript; Python; SQL; TypeScript,NA
,8 to 9 years,NA,JavaScript; PHP,C#; Java; JavaScript; PHP,NA
,20 or more years,NA,NA,NA,NA
,5 to 6 years,NA,C; C++; C#; Java; JavaScript; PHP; Python; SQL,Assembly; Scala,NA
,3 to 4 years,NA,NA,NA,NA
,4 to 5 years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,2 to 3 years,Euros (€),Assembly; C#; Clojure,C; C++; Dart; Elixir,NA
,1 to 2 years,NA,NA,NA,NA
,2 to 3 years,NA,C; C#; SQL; Swift,Java; Swift,NA
,17 to 18 years,NA,C#; JavaScript; Python; Swift,C#; JavaScript; Python; Swift,NA
,16 to 17 years,British pounds sterling (£),C#; JavaScript; PHP; TypeScript,C; C++; Objective-C,3.50E+04
,Less than a year,NA,Java,Java,NA
,13 to 14 years,Euros (€),Assembly; C; C++; C#; Java; JavaScript; Matlab; Objective-C; PHP; SQL,C#; Java; JavaScript; SQL,2150.537634
,8 to 9 years,NA,NA,NA,NA
,6 to 7 years,Indian rupees (?),NA,Assembly; Groovy; Java; JavaScript; R; Scala; SQL,11452.06284
,7 to 8 years,Japanese yen (¥),NA,NA,NA
,2 to 3 years,NA,Groovy; Java; JavaScript; Scala; SQL,C#; Groovy; Java; JavaScript; Python; Scala; SQL,NA
,12 to 13 years,British pounds sterling (£),NA,NA,NA
,13 to 14 years,Brazilian reais (R$),JavaScript; PHP; SQL,C#; JavaScript; Python; VB.NET,955.4140127
,9 to 10 years,NA,NA,SQL,NA
,9 to 10 years,NA,JavaScript; PHP; SQL; TypeScript,JavaScript; TypeScript,NA
,20 or more years,NA,C#; Java; JavaScript; SQL; TypeScript,C++; Haskell; Java; R; TypeScript,NA
,5 to 6 years,NA,Java; JavaScript; Scala; SQL; VB.NET; VBA,JavaScript; Scala; SQL; VB.NET; VBA,NA
,5 to 6 years,Polish zloty (zl),C++; Python,C++; C#; Java; Python,NA
,1 to 2 years,Euros (€),NA,NA,NA
,15 to 16 years,NA,C#; JavaScript; SQL,C#; JavaScript,NA
,4 to 5 years,U.S. dollars ($),NA,NA,6500
